epoch,train_loss,val_loss,threshold,exact_count_accuracy,within_one_accuracy,mean_absolute_error,mean_signed_error,learning_rate
1,1.0572959548430823,0.8945801945419999,0.3800000000000002,0.13363363363363365,0.2627627627627628,53.71546546546546,-51.940690690690694,0.0003
2,0.8795426084849756,0.8213740595736662,0.27000000000000013,0.16066066066066065,0.31906906906906907,14.595345345345345,-10.547297297297296,0.0003
3,0.8078823490657717,0.7764412617987698,0.3550000000000002,0.17642642642642642,0.3063063063063063,36.816066066066064,-34.6448948948949,0.0003
4,0.7696585518429537,0.7805647468334204,0.29500000000000015,0.19519519519519518,0.3686186186186186,13.514264264264265,-9.6509009009009,0.0003
5,0.7316126148801454,0.7391632197497485,0.3350000000000002,0.17492492492492492,0.33633633633633636,23.087087087087088,-20.87087087087087,0.0003
6,0.7010427563850868,0.7047493804145504,0.29500000000000015,0.1906906906906907,0.35135135135135137,10.543543543543544,-4.737237237237237,0.0003
7,0.6705638952546277,0.7036679519994838,0.30500000000000016,0.19444444444444445,0.35135135135135137,12.545045045045045,-8.695195195195195,0.00015
8,0.6096276605744877,0.6620568704005476,0.28500000000000014,0.21171171171171171,0.3686186186186186,9.475975975975976,-4.018018018018018,0.00015
9,0.5871531022882238,0.6563046254866474,0.3500000000000002,0.2042042042042042,0.36036036036036034,15.933183183183184,-13.25,0.00015
10,0.5661408114321355,0.6671554534598155,0.29500000000000015,0.19144144144144143,0.3761261261261261,10.846096096096096,-6.626876876876877,0.00015
11,0.5479301822353416,0.6652416147224538,0.28500000000000014,0.21921921921921922,0.3948948948948949,8.855855855855856,-2.5975975975975976,0.00015
12,0.5286673563187111,0.6539277829252206,0.3200000000000002,0.19594594594594594,0.37537537537537535,10.487987987987989,-6.006006006006006,0.00015
13,0.513474866426047,0.6671652791199384,0.30500000000000016,0.21021021021021022,0.36936936936936937,9.60885885885886,-4.168918918918919,0.00015
14,0.4942728977695877,0.6501920291477138,0.3450000000000002,0.20645645645645647,0.3761261261261261,12.92867867867868,-9.823573573573574,7.5e-05
15,0.44934842314518675,0.6579304128303542,0.3600000000000002,0.21996996996996998,0.37987987987987987,11.397897897897899,-7.998498498498498,7.5e-05
16,0.435306938562035,0.662999486891894,0.30000000000000016,0.22597597597597596,0.3768768768768769,9.374624624624625,-3.1629129129129128,7.5e-05
17,0.42215148912349215,0.6790553298485171,0.30500000000000016,0.21096096096096095,0.39039039039039036,9.03078078078078,-2.5968468468468466,7.5e-05
18,0.40856362019626186,0.6929487140105294,0.28500000000000014,0.21396396396396397,0.3888888888888889,8.71021021021021,-1.105105105105105,7.5e-05
19,0.3985118697282854,0.6951127201989964,0.3350000000000002,0.21696696696696696,0.3843843843843844,9.772522522522523,-4.922672672672673,3.75e-05
20,0.377737905497842,0.7086479682866875,0.3300000000000002,0.22072072072072071,0.4039039039039039,9.598348348348349,-5.062312312312312,3.75e-05
21,0.36471624191937874,0.7415047743030496,0.3500000000000002,0.23423423423423423,0.3911411411411411,10.293543543543544,-6.494744744744745,3.75e-05
22,0.35864217275744875,0.7201069940004621,0.3250000000000002,0.22297297297297297,0.39864864864864863,9.117117117117116,-3.6576576576576576,3.75e-05
23,0.354797241822095,0.7349100178247457,0.3350000000000002,0.1996996996996997,0.38288288288288286,9.983483483483484,-5.361861861861862,3.75e-05
24,0.348205538803423,0.7429051973798253,0.3450000000000002,0.2132132132132132,0.40015015015015015,9.867117117117116,-5.841591591591592,1.875e-05
25,0.3349649520715078,0.7633353855919551,0.3500000000000002,0.21396396396396397,0.3948948948948949,9.933183183183184,-5.9391891891891895,1.875e-05
26,0.33138345501232597,0.750461210135941,0.3200000000000002,0.22297297297297297,0.4084084084084084,8.992492492492492,-3.3678678678678677,1.875e-05
27,0.32961823093499376,0.7527679938588057,0.3300000000000002,0.21921921921921922,0.39564564564564564,9.273273273273274,-4.16066066066066,9.375e-06
