Detector CUDA experiment: train=10650 val=1332 size=960
Epoch 2/6 batch 2900/5325 loss=0.67818 elapsed=463.2s
Epoch 2/6 batch 3000/5325 loss=0.67652 elapsed=477.8s
Epoch 2/6 batch 3100/5325 loss=0.67585 elapsed=493.4s
Epoch 2/6 batch 3200/5325 loss=0.67666 elapsed=508.8s
Epoch 2/6 batch 3300/5325 loss=0.67459 elapsed=524.1s
Epoch 2/6 batch 3400/5325 loss=0.67572 elapsed=539.1s
Epoch 2/6 batch 3500/5325 loss=0.67575 elapsed=553.9s
Epoch 2/6 batch 3600/5325 loss=0.67592 elapsed=568.6s
Epoch 2/6 batch 3700/5325 loss=0.67698 elapsed=584.2s
Epoch 2/6 batch 3800/5325 loss=0.67508 elapsed=600.1s
Epoch 2/6 batch 3900/5325 loss=0.67410 elapsed=615.0s
Epoch 2/6 batch 4000/5325 loss=0.67371 elapsed=639.0s
Epoch 2/6 batch 4100/5325 loss=0.67313 elapsed=662.3s
Epoch 2/6 batch 4200/5325 loss=0.67365 elapsed=680.7s
Epoch 2/6 batch 4300/5325 loss=0.67316 elapsed=696.1s
Epoch 2/6 batch 4400/5325 loss=0.67272 elapsed=710.9s
Epoch 2/6 batch 4500/5325 loss=0.67256 elapsed=728.7s
Epoch 2/6 batch 4600/5325 loss=0.67218 elapsed=743.6s
Epoch 2/6 batch 4700/5325 loss=0.67205 elapsed=758.9s
Epoch 2/6 batch 4800/5325 loss=0.67201 elapsed=774.4s
Epoch 2/6 batch 4900/5325 loss=0.67123 elapsed=791.7s
Epoch 2/6 batch 5000/5325 loss=0.66969 elapsed=817.7s
Epoch 2/6 batch 5100/5325 loss=0.66897 elapsed=865.2s
Epoch 2/6 batch 5200/5325 loss=0.66793 elapsed=895.3s
Epoch 2/6 batch 5300/5325 loss=0.66715 elapsed=916.7s
{"epoch": 2, "train_loss": 0.666735342232939, "images": 1332, "threshold": 0.47999999999999976, "exact_count_accuracy": 0.2957957957957958, "within_one_accuracy": 0.44894894894894893, "mean_absolute_error": 9.632132132132131, "root_mean_squared_error": 28.638054021496263, "mean_signed_error": -5.614114114114114, "total_true": 206171, "total_predicted": 198693, "seconds": 1164.9809313000005}
Epoch 3/6 batch 1/5325 loss=0.54101 elapsed=14.6s
Epoch 3/6 batch 100/5325 loss=0.60507 elapsed=29.5s
Epoch 3/6 batch 200/5325 loss=0.63181 elapsed=44.6s
Epoch 3/6 batch 300/5325 loss=0.64247 elapsed=59.0s
Epoch 3/6 batch 400/5325 loss=0.64675 elapsed=73.5s
Epoch 3/6 batch 500/5325 loss=0.64477 elapsed=88.0s
Epoch 3/6 batch 600/5325 loss=0.64687 elapsed=102.7s
Epoch 3/6 batch 700/5325 loss=0.64562 elapsed=117.5s
Epoch 3/6 batch 800/5325 loss=0.63778 elapsed=131.9s
Epoch 3/6 batch 900/5325 loss=0.63354 elapsed=146.3s
Epoch 3/6 batch 1000/5325 loss=0.63439 elapsed=160.5s
Epoch 3/6 batch 1100/5325 loss=0.64078 elapsed=174.9s
Epoch 3/6 batch 1200/5325 loss=0.63969 elapsed=189.2s
Epoch 3/6 batch 1300/5325 loss=0.64519 elapsed=204.2s
Epoch 3/6 batch 1400/5325 loss=0.64760 elapsed=218.9s
Epoch 3/6 batch 1500/5325 loss=0.64880 elapsed=233.7s
Epoch 3/6 batch 1600/5325 loss=0.64830 elapsed=248.1s
Epoch 3/6 batch 1700/5325 loss=0.64734 elapsed=262.4s
Epoch 3/6 batch 1800/5325 loss=0.65019 elapsed=277.0s
Epoch 3/6 batch 1900/5325 loss=0.65359 elapsed=291.3s
Epoch 3/6 batch 2000/5325 loss=0.65334 elapsed=303.5s
Epoch 3/6 batch 2100/5325 loss=0.65359 elapsed=315.8s
Epoch 3/6 batch 2200/5325 loss=0.65743 elapsed=328.0s
Epoch 3/6 batch 2300/5325 loss=0.65734 elapsed=340.3s
Epoch 3/6 batch 2400/5325 loss=0.65626 elapsed=353.0s
Epoch 3/6 batch 2500/5325 loss=0.65479 elapsed=365.2s
Epoch 3/6 batch 2600/5325 loss=0.65524 elapsed=377.4s
Epoch 3/6 batch 2700/5325 loss=0.65394 elapsed=389.4s
Epoch 3/6 batch 2800/5325 loss=0.65326 elapsed=401.4s
Epoch 3/6 batch 2900/5325 loss=0.65382 elapsed=413.6s
Epoch 3/6 batch 3000/5325 loss=0.65532 elapsed=427.7s
Epoch 3/6 batch 3100/5325 loss=0.65492 elapsed=442.3s
Epoch 3/6 batch 3200/5325 loss=0.65315 elapsed=458.2s
Epoch 3/6 batch 3300/5325 loss=0.65302 elapsed=474.6s
Epoch 3/6 batch 3400/5325 loss=0.65153 elapsed=490.9s
Epoch 3/6 batch 3500/5325 loss=0.65214 elapsed=505.5s
Epoch 3/6 batch 3600/5325 loss=0.65385 elapsed=519.7s
Epoch 3/6 batch 3700/5325 loss=0.65375 elapsed=534.2s
Epoch 3/6 batch 3800/5325 loss=0.65470 elapsed=548.6s
Epoch 3/6 batch 3900/5325 loss=0.65434 elapsed=563.0s
Epoch 3/6 batch 4000/5325 loss=0.65293 elapsed=577.7s
Epoch 3/6 batch 4100/5325 loss=0.65290 elapsed=592.0s
Epoch 3/6 batch 4200/5325 loss=0.65365 elapsed=607.1s
Epoch 3/6 batch 4300/5325 loss=0.65411 elapsed=621.4s
Epoch 3/6 batch 4400/5325 loss=0.65396 elapsed=636.3s
Epoch 3/6 batch 4500/5325 loss=0.65454 elapsed=652.9s
