epoch,train_loss,images,threshold,exact_count_accuracy,within_one_accuracy,mean_absolute_error,root_mean_squared_error,mean_signed_error,total_true,total_predicted,seconds
1,0.6983359313289255,1332,0.7599999999999997,0.283033033033033,0.41291291291291293,35.992492492492495,91.90913877188595,-33.927927927927925,206171,160979,867.4595919000058
2,0.666735342232939,1332,0.47999999999999976,0.2957957957957958,0.44894894894894893,9.632132132132131,28.638054021496263,-5.614114114114114,206171,198693,1164.9809313000005
3,0.6544673783391575,1332,0.5699999999999998,0.2905405405405405,0.4286786786786787,15.484984984984985,45.632853925185934,-12.65015015015015,206171,189321,886.2151592000009
4,0.6428679283777418,1332,0.4099999999999998,0.29429429429429427,0.4512012012012012,7.944444444444445,22.71093980412935,-2.93993993993994,206171,202255,915.1837885999994
