Detector CUDA experiment: train=10650 val=1332 size=640
Epoch 2/8 batch 2900/5325 loss=0.89927 elapsed=260.0s
Epoch 2/8 batch 3000/5325 loss=0.89633 elapsed=268.4s
Epoch 2/8 batch 3100/5325 loss=0.89522 elapsed=276.9s
Epoch 2/8 batch 3200/5325 loss=0.89542 elapsed=285.6s
Epoch 2/8 batch 3300/5325 loss=0.89316 elapsed=294.2s
Epoch 2/8 batch 3400/5325 loss=0.89398 elapsed=302.7s
Epoch 2/8 batch 3500/5325 loss=0.89321 elapsed=311.1s
Epoch 2/8 batch 3600/5325 loss=0.89231 elapsed=319.5s
Epoch 2/8 batch 3700/5325 loss=0.89354 elapsed=328.0s
Epoch 2/8 batch 3800/5325 loss=0.89155 elapsed=336.2s
Epoch 2/8 batch 3900/5325 loss=0.88959 elapsed=344.4s
Epoch 2/8 batch 4000/5325 loss=0.88922 elapsed=352.8s
Epoch 2/8 batch 4100/5325 loss=0.88808 elapsed=361.3s
Epoch 2/8 batch 4200/5325 loss=0.88872 elapsed=370.0s
Epoch 2/8 batch 4300/5325 loss=0.88779 elapsed=378.5s
Epoch 2/8 batch 4400/5325 loss=0.88637 elapsed=386.6s
Epoch 2/8 batch 4500/5325 loss=0.88589 elapsed=395.2s
Epoch 2/8 batch 4600/5325 loss=0.88442 elapsed=403.7s
Epoch 2/8 batch 4700/5325 loss=0.88372 elapsed=412.4s
Epoch 2/8 batch 4800/5325 loss=0.88325 elapsed=421.2s
Epoch 2/8 batch 4900/5325 loss=0.88260 elapsed=429.6s
Epoch 2/8 batch 5000/5325 loss=0.88055 elapsed=438.1s
Epoch 2/8 batch 5100/5325 loss=0.87926 elapsed=446.7s
Epoch 2/8 batch 5200/5325 loss=0.87767 elapsed=455.4s
Epoch 2/8 batch 5300/5325 loss=0.87617 elapsed=464.0s
{"epoch": 2, "train_loss": 0.8756244160226183, "images": 1332, "threshold": 0.6399999999999998, "exact_count_accuracy": 0.2755255255255255, "within_one_accuracy": 0.39414414414414417, "mean_absolute_error": 52.06981981981982, "root_mean_squared_error": 121.73122747159721, "mean_signed_error": -50.09534534534534, "total_true": 206171, "total_predicted": 139444, "seconds": 536.0993127000002}
Epoch 3/8 batch 1/5325 loss=0.67856 elapsed=11.0s
Epoch 3/8 batch 100/5325 loss=0.77539 elapsed=19.6s
Epoch 3/8 batch 200/5325 loss=0.79903 elapsed=28.2s
Epoch 3/8 batch 300/5325 loss=0.80326 elapsed=36.8s
Epoch 3/8 batch 400/5325 loss=0.81060 elapsed=45.3s
Epoch 3/8 batch 500/5325 loss=0.81706 elapsed=53.7s
Epoch 3/8 batch 600/5325 loss=0.82039 elapsed=62.3s
Epoch 3/8 batch 700/5325 loss=0.82088 elapsed=71.3s
Epoch 3/8 batch 800/5325 loss=0.81394 elapsed=79.9s
Epoch 3/8 batch 900/5325 loss=0.81228 elapsed=88.3s
Epoch 3/8 batch 1000/5325 loss=0.81494 elapsed=96.8s
Epoch 3/8 batch 1100/5325 loss=0.82125 elapsed=105.2s
Epoch 3/8 batch 1200/5325 loss=0.82127 elapsed=113.6s
Epoch 3/8 batch 1300/5325 loss=0.82832 elapsed=122.4s
Epoch 3/8 batch 1400/5325 loss=0.83114 elapsed=130.8s
Epoch 3/8 batch 1500/5325 loss=0.83220 elapsed=139.5s
Epoch 3/8 batch 1600/5325 loss=0.83134 elapsed=148.0s
Epoch 3/8 batch 1700/5325 loss=0.83012 elapsed=156.4s
Epoch 3/8 batch 1800/5325 loss=0.83309 elapsed=164.9s
Epoch 3/8 batch 1900/5325 loss=0.83730 elapsed=173.7s
Epoch 3/8 batch 2000/5325 loss=0.83748 elapsed=182.3s
Epoch 3/8 batch 2100/5325 loss=0.83815 elapsed=190.6s
Epoch 3/8 batch 2200/5325 loss=0.84230 elapsed=199.2s
Epoch 3/8 batch 2300/5325 loss=0.84265 elapsed=207.8s
Epoch 3/8 batch 2400/5325 loss=0.84069 elapsed=216.4s
Epoch 3/8 batch 2500/5325 loss=0.83926 elapsed=225.2s
Epoch 3/8 batch 2600/5325 loss=0.83974 elapsed=233.7s
Epoch 3/8 batch 2700/5325 loss=0.83880 elapsed=242.3s
Epoch 3/8 batch 2800/5325 loss=0.83737 elapsed=250.6s
Epoch 3/8 batch 2900/5325 loss=0.83763 elapsed=259.0s
Epoch 3/8 batch 3000/5325 loss=0.83966 elapsed=267.4s
Epoch 3/8 batch 3100/5325 loss=0.83974 elapsed=275.8s
Epoch 3/8 batch 3200/5325 loss=0.83760 elapsed=284.5s
Epoch 3/8 batch 3300/5325 loss=0.83744 elapsed=293.3s
Epoch 3/8 batch 3400/5325 loss=0.83563 elapsed=301.9s
Epoch 3/8 batch 3500/5325 loss=0.83649 elapsed=310.6s
Epoch 3/8 batch 3600/5325 loss=0.83749 elapsed=319.0s
Epoch 3/8 batch 3700/5325 loss=0.83702 elapsed=327.6s
Epoch 3/8 batch 3800/5325 loss=0.83783 elapsed=336.2s
Epoch 3/8 batch 3900/5325 loss=0.83692 elapsed=344.6s
Epoch 3/8 batch 4000/5325 loss=0.83508 elapsed=352.9s
Epoch 3/8 batch 4100/5325 loss=0.83466 elapsed=361.4s
Epoch 3/8 batch 4200/5325 loss=0.83480 elapsed=370.0s
Epoch 3/8 batch 4300/5325 loss=0.83508 elapsed=378.5s
Epoch 3/8 batch 4400/5325 loss=0.83451 elapsed=387.1s
Epoch 3/8 batch 4500/5325 loss=0.83512 elapsed=395.6s
Epoch 3/8 batch 4600/5325 loss=0.83416 elapsed=404.2s
Epoch 3/8 batch 4700/5325 loss=0.83492 elapsed=412.9s
Epoch 3/8 batch 4800/5325 loss=0.83386 elapsed=421.3s
Epoch 3/8 batch 4900/5325 loss=0.83358 elapsed=429.7s
Epoch 3/8 batch 5000/5325 loss=0.83297 elapsed=438.2s
Epoch 3/8 batch 5100/5325 loss=0.83223 elapsed=446.6s
Epoch 3/8 batch 5200/5325 loss=0.83210 elapsed=455.1s
Epoch 3/8 batch 5300/5325 loss=0.83334 elapsed=463.7s
{"epoch": 3, "train_loss": 0.8327397789454586, "images": 1332, "threshold": 0.9099999999999996, "exact_count_accuracy": 0.265015015015015, "within_one_accuracy": 0.3716216216216216, "mean_absolute_error": 80.56981981981981, "root_mean_squared_error": 174.4571825937773, "mean_signed_error": -79.02777777777777, "total_true": 206171, "total_predicted": 100906, "seconds": 534.8870685000002}
Epoch 4/8 batch 1/5325 loss=0.53831 elapsed=11.1s
Epoch 4/8 batch 100/5325 loss=0.82289 elapsed=19.5s
Epoch 4/8 batch 200/5325 loss=0.82561 elapsed=27.9s
Epoch 4/8 batch 300/5325 loss=0.78147 elapsed=36.3s
Epoch 4/8 batch 400/5325 loss=0.77891 elapsed=44.8s
Epoch 4/8 batch 500/5325 loss=0.77794 elapsed=53.1s
Epoch 4/8 batch 600/5325 loss=0.79225 elapsed=61.7s
Epoch 4/8 batch 700/5325 loss=0.78116 elapsed=69.9s
Epoch 4/8 batch 800/5325 loss=0.78034 elapsed=78.2s
Epoch 4/8 batch 900/5325 loss=0.78027 elapsed=86.8s
Epoch 4/8 batch 1000/5325 loss=0.77804 elapsed=95.2s
Epoch 4/8 batch 1100/5325 loss=0.78004 elapsed=104.0s
Epoch 4/8 batch 1200/5325 loss=0.78877 elapsed=112.3s
Epoch 4/8 batch 1300/5325 loss=0.79035 elapsed=120.6s
Epoch 4/8 batch 1400/5325 loss=0.79529 elapsed=129.3s
Epoch 4/8 batch 1500/5325 loss=0.79639 elapsed=137.9s
Epoch 4/8 batch 1600/5325 loss=0.80086 elapsed=146.7s
Epoch 4/8 batch 1700/5325 loss=0.80271 elapsed=155.4s
Epoch 4/8 batch 1800/5325 loss=0.80280 elapsed=164.1s
Epoch 4/8 batch 1900/5325 loss=0.80035 elapsed=172.6s
Epoch 4/8 batch 2000/5325 loss=0.79681 elapsed=180.9s
Epoch 4/8 batch 2100/5325 loss=0.79786 elapsed=189.6s
Epoch 4/8 batch 2200/5325 loss=0.79788 elapsed=198.5s
Epoch 4/8 batch 2300/5325 loss=0.79415 elapsed=206.8s
Epoch 4/8 batch 2400/5325 loss=0.79809 elapsed=215.5s
Epoch 4/8 batch 2500/5325 loss=0.79680 elapsed=224.3s
Epoch 4/8 batch 2600/5325 loss=0.79812 elapsed=233.0s
Epoch 4/8 batch 2700/5325 loss=0.79891 elapsed=241.4s
Epoch 4/8 batch 2800/5325 loss=0.79955 elapsed=249.7s
Epoch 4/8 batch 2900/5325 loss=0.80178 elapsed=258.4s
Epoch 4/8 batch 3000/5325 loss=0.80302 elapsed=267.0s
Epoch 4/8 batch 3100/5325 loss=0.80075 elapsed=275.7s
Epoch 4/8 batch 3200/5325 loss=0.79994 elapsed=284.2s
Epoch 4/8 batch 3300/5325 loss=0.80053 elapsed=292.6s
Epoch 4/8 batch 3400/5325 loss=0.80182 elapsed=301.5s
Epoch 4/8 batch 3500/5325 loss=0.80149 elapsed=310.3s
Epoch 4/8 batch 3600/5325 loss=0.80264 elapsed=319.1s
Epoch 4/8 batch 3700/5325 loss=0.80253 elapsed=327.7s
Epoch 4/8 batch 3800/5325 loss=0.80182 elapsed=336.2s
Epoch 4/8 batch 3900/5325 loss=0.80074 elapsed=344.6s
Epoch 4/8 batch 4000/5325 loss=0.80146 elapsed=353.2s
Epoch 4/8 batch 4100/5325 loss=0.80210 elapsed=361.9s
Epoch 4/8 batch 4200/5325 loss=0.80032 elapsed=370.5s
Epoch 4/8 batch 4300/5325 loss=0.80047 elapsed=379.0s
Epoch 4/8 batch 4400/5325 loss=0.79980 elapsed=387.6s
Epoch 4/8 batch 4500/5325 loss=0.79962 elapsed=396.1s
Epoch 4/8 batch 4600/5325 loss=0.79907 elapsed=404.5s
Epoch 4/8 batch 4700/5325 loss=0.79858 elapsed=413.0s
Epoch 4/8 batch 4800/5325 loss=0.79747 elapsed=421.3s
Epoch 4/8 batch 4900/5325 loss=0.79795 elapsed=429.9s
Epoch 4/8 batch 5000/5325 loss=0.79878 elapsed=438.6s
Epoch 4/8 batch 5100/5325 loss=0.79839 elapsed=446.9s
Epoch 4/8 batch 5200/5325 loss=0.79950 elapsed=455.5s
Epoch 4/8 batch 5300/5325 loss=0.79820 elapsed=464.0s
{"epoch": 4, "train_loss": 0.7983796192682895, "images": 1332, "threshold": 0.6799999999999997, "exact_count_accuracy": 0.25975975975975973, "within_one_accuracy": 0.38288288288288286, "mean_absolute_error": 41.42492492492492, "root_mean_squared_error": 102.88944911281592, "mean_signed_error": -35.74474474474474, "total_true": 206171, "total_predicted": 158559, "seconds": 539.2572443999998}
Epoch 5/8 batch 1/5325 loss=0.43757 elapsed=11.0s
Epoch 5/8 batch 100/5325 loss=0.73261 elapsed=19.8s
Epoch 5/8 batch 200/5325 loss=0.73930 elapsed=28.5s
Epoch 5/8 batch 300/5325 loss=0.73826 elapsed=37.1s
Epoch 5/8 batch 400/5325 loss=0.74351 elapsed=45.8s
Epoch 5/8 batch 500/5325 loss=0.72950 elapsed=54.4s
Epoch 5/8 batch 600/5325 loss=0.73571 elapsed=63.1s
Epoch 5/8 batch 700/5325 loss=0.73299 elapsed=71.7s
Epoch 5/8 batch 800/5325 loss=0.73051 elapsed=80.4s
Epoch 5/8 batch 900/5325 loss=0.73592 elapsed=89.0s
Epoch 5/8 batch 1000/5325 loss=0.72939 elapsed=97.4s
Epoch 5/8 batch 1100/5325 loss=0.73277 elapsed=105.9s
Epoch 5/8 batch 1200/5325 loss=0.73698 elapsed=114.5s
Epoch 5/8 batch 1300/5325 loss=0.73449 elapsed=123.0s
Epoch 5/8 batch 1400/5325 loss=0.73530 elapsed=131.5s
Epoch 5/8 batch 1500/5325 loss=0.73010 elapsed=140.2s
Epoch 5/8 batch 1600/5325 loss=0.72803 elapsed=148.6s
Epoch 5/8 batch 1700/5325 loss=0.73176 elapsed=157.4s
Epoch 5/8 batch 1800/5325 loss=0.73121 elapsed=165.8s
Epoch 5/8 batch 1900/5325 loss=0.73180 elapsed=174.5s
Epoch 5/8 batch 2000/5325 loss=0.73155 elapsed=182.9s
Epoch 5/8 batch 2100/5325 loss=0.73458 elapsed=191.3s
Epoch 5/8 batch 2200/5325 loss=0.73811 elapsed=199.9s
Epoch 5/8 batch 2300/5325 loss=0.73952 elapsed=208.4s
Epoch 5/8 batch 2400/5325 loss=0.73983 elapsed=217.1s
Epoch 5/8 batch 2500/5325 loss=0.73949 elapsed=225.5s
Epoch 5/8 batch 2600/5325 loss=0.73814 elapsed=234.0s
Epoch 5/8 batch 2700/5325 loss=0.73772 elapsed=242.8s
Epoch 5/8 batch 2800/5325 loss=0.73633 elapsed=251.3s
Epoch 5/8 batch 2900/5325 loss=0.73547 elapsed=260.0s
Epoch 5/8 batch 3000/5325 loss=0.73621 elapsed=268.6s
Epoch 5/8 batch 3100/5325 loss=0.73738 elapsed=277.1s
Epoch 5/8 batch 3200/5325 loss=0.73422 elapsed=285.5s
Epoch 5/8 batch 3300/5325 loss=0.73397 elapsed=294.2s
Epoch 5/8 batch 3400/5325 loss=0.73429 elapsed=303.0s
Epoch 5/8 batch 3500/5325 loss=0.73506 elapsed=311.6s
Epoch 5/8 batch 3600/5325 loss=0.73562 elapsed=320.2s
Epoch 5/8 batch 3700/5325 loss=0.73457 elapsed=328.7s
Epoch 5/8 batch 3800/5325 loss=0.73501 elapsed=337.2s
Epoch 5/8 batch 3900/5325 loss=0.73485 elapsed=345.8s
Epoch 5/8 batch 4000/5325 loss=0.73439 elapsed=354.4s
Epoch 5/8 batch 4100/5325 loss=0.73559 elapsed=363.0s
Epoch 5/8 batch 4200/5325 loss=0.73516 elapsed=371.5s
Epoch 5/8 batch 4300/5325 loss=0.73458 elapsed=379.9s
Epoch 5/8 batch 4400/5325 loss=0.73420 elapsed=388.4s
Epoch 5/8 batch 4500/5325 loss=0.73280 elapsed=396.8s
Epoch 5/8 batch 4600/5325 loss=0.73317 elapsed=405.2s
Epoch 5/8 batch 4700/5325 loss=0.73332 elapsed=413.6s
Epoch 5/8 batch 4800/5325 loss=0.73087 elapsed=421.9s
Epoch 5/8 batch 4900/5325 loss=0.73136 elapsed=430.5s
Epoch 5/8 batch 5000/5325 loss=0.73127 elapsed=439.2s
Epoch 5/8 batch 5100/5325 loss=0.73170 elapsed=448.0s
Epoch 5/8 batch 5200/5325 loss=0.73341 elapsed=456.9s
Epoch 5/8 batch 5300/5325 loss=0.73340 elapsed=465.5s
{"epoch": 5, "train_loss": 0.7334134837232985, "images": 1332, "threshold": 0.9249999999999996, "exact_count_accuracy": 0.28378378378378377, "within_one_accuracy": 0.40465465465465467, "mean_absolute_error": 84.1981981981982, "root_mean_squared_error": 181.53478145214177, "mean_signed_error": -82.7042042042042, "total_true": 206171, "total_predicted": 96009, "seconds": 537.9297129000006}
Epoch 6/8 batch 1/5325 loss=0.32916 elapsed=10.7s
Epoch 6/8 batch 100/5325 loss=0.73607 elapsed=19.5s
Epoch 6/8 batch 200/5325 loss=0.71881 elapsed=28.1s
Epoch 6/8 batch 300/5325 loss=0.71123 elapsed=36.5s
Epoch 6/8 batch 400/5325 loss=0.70066 elapsed=45.0s
Epoch 6/8 batch 500/5325 loss=0.70194 elapsed=53.6s
Epoch 6/8 batch 600/5325 loss=0.71114 elapsed=62.4s
Epoch 6/8 batch 700/5325 loss=0.70385 elapsed=70.8s
Epoch 6/8 batch 800/5325 loss=0.71306 elapsed=79.4s
Epoch 6/8 batch 900/5325 loss=0.71229 elapsed=88.0s
Epoch 6/8 batch 1000/5325 loss=0.71675 elapsed=96.9s
Epoch 6/8 batch 1100/5325 loss=0.71247 elapsed=105.3s
Epoch 6/8 batch 1200/5325 loss=0.71868 elapsed=114.0s
Epoch 6/8 batch 1300/5325 loss=0.71948 elapsed=122.6s
Epoch 6/8 batch 1400/5325 loss=0.71869 elapsed=131.1s
Epoch 6/8 batch 1500/5325 loss=0.71807 elapsed=139.6s
Epoch 6/8 batch 1600/5325 loss=0.71658 elapsed=148.1s
Epoch 6/8 batch 1700/5325 loss=0.71927 elapsed=156.6s
Epoch 6/8 batch 1800/5325 loss=0.71890 elapsed=165.1s
Epoch 6/8 batch 1900/5325 loss=0.72114 elapsed=173.6s
Epoch 6/8 batch 2000/5325 loss=0.72032 elapsed=182.1s
Epoch 6/8 batch 2100/5325 loss=0.72156 elapsed=190.6s
Epoch 6/8 batch 2200/5325 loss=0.71949 elapsed=199.0s
Epoch 6/8 batch 2300/5325 loss=0.71749 elapsed=207.6s
Epoch 6/8 batch 2400/5325 loss=0.71719 elapsed=216.2s
Epoch 6/8 batch 2500/5325 loss=0.71678 elapsed=224.7s
Epoch 6/8 batch 2600/5325 loss=0.71792 elapsed=233.4s
Epoch 6/8 batch 2700/5325 loss=0.71438 elapsed=241.6s
Epoch 6/8 batch 2800/5325 loss=0.71374 elapsed=250.0s
Epoch 6/8 batch 2900/5325 loss=0.71551 elapsed=258.4s
Epoch 6/8 batch 3000/5325 loss=0.71515 elapsed=266.9s
Epoch 6/8 batch 3100/5325 loss=0.71313 elapsed=275.2s
Epoch 6/8 batch 3200/5325 loss=0.71153 elapsed=283.5s
Epoch 6/8 batch 3300/5325 loss=0.71070 elapsed=292.1s
Epoch 6/8 batch 3400/5325 loss=0.70756 elapsed=300.5s
Epoch 6/8 batch 3500/5325 loss=0.70571 elapsed=309.0s
Epoch 6/8 batch 3600/5325 loss=0.70447 elapsed=317.5s
Epoch 6/8 batch 3700/5325 loss=0.70560 elapsed=326.1s
