epoch,train_loss,images,threshold,exact_count_accuracy,within_one_accuracy,mean_absolute_error,root_mean_squared_error,mean_signed_error,total_true,total_predicted,seconds
1,0.9846084178966675,1332,0.8849999999999997,0.2057057057057057,0.31681681681681684,88.4572072072072,181.2152855852114,-86.82357357357357,206171,90522,540.0302708999989
2,0.8756244160226183,1332,0.6399999999999998,0.2755255255255255,0.39414414414414417,52.06981981981982,121.73122747159721,-50.09534534534534,206171,139444,536.0993127000002
3,0.8327397789454586,1332,0.9099999999999996,0.265015015015015,0.3716216216216216,80.56981981981981,174.4571825937773,-79.02777777777777,206171,100906,534.8870685000002
4,0.7983796192682895,1332,0.6799999999999997,0.25975975975975973,0.38288288288288286,41.42492492492492,102.88944911281592,-35.74474474474474,206171,158559,539.2572443999998
5,0.7334134837232985,1332,0.9249999999999996,0.28378378378378377,0.40465465465465467,84.1981981981982,181.53478145214177,-82.7042042042042,206171,96009,537.9297129000006
6,0.7117149138819654,1332,0.9099999999999996,0.27702702702702703,0.41291291291291293,77.56456456456456,166.91418107471827,-76.40090090090091,206171,104405,535.9134023999995
7,0.6898541948572676,1332,0.6149999999999998,0.28378378378378377,0.4271771771771772,19.333333333333332,53.43397036707257,-8.786786786786786,206171,194467,537.4196181000007
8,0.6497882505958384,1332,0.5399999999999998,0.2905405405405405,0.45045045045045046,16.2972972972973,47.67128119791885,0.32882882882882886,206171,206609,536.8749477999991
