epoch,train_loss,images,threshold,exact_count_accuracy,within_one_accuracy,mean_absolute_error,root_mean_squared_error,mean_signed_error,total_true,total_predicted,seconds
1,0.6307848224818199,1332,0.8599999999999997,0.28603603603603606,0.4196696696696697,51.31531531531532,119.35582857076488,-49.872372372372375,206171,139741,531.1041643999997
2,0.6164536901051835,1332,0.42999999999999977,0.2980480480480481,0.4594594594594595,8.352852852852854,29.71887803588338,-2.160660660660661,206171,203293,544.3376733999976
3,0.6033703110907489,1332,0.5099999999999998,0.2912912912912913,0.4496996996996997,10.706456456456456,33.15493930020081,-7.643393393393393,206171,195990,531.7430845000017
4,0.5900351157706634,1332,0.7699999999999997,0.28678678678678676,0.41816816816816815,34.158408408408405,86.84781397820439,-32.07432432432432,206171,163448,532.7324633000026
5,0.5638419695091412,1332,0.48499999999999976,0.2927927927927928,0.45045045045045046,10.294294294294295,33.21684601010245,-6.83033033033033,206171,197073,533.4523380999999
