Detector CUDA experiment: train=10650 val=1332 size=640
Epoch 2/8 batch 2900/5325 loss=0.62587 elapsed=263.1s
Epoch 2/8 batch 3000/5325 loss=0.62416 elapsed=271.8s
Epoch 2/8 batch 3100/5325 loss=0.62344 elapsed=280.7s
Epoch 2/8 batch 3200/5325 loss=0.62409 elapsed=289.6s
Epoch 2/8 batch 3300/5325 loss=0.62237 elapsed=298.5s
Epoch 2/8 batch 3400/5325 loss=0.62343 elapsed=307.3s
Epoch 2/8 batch 3500/5325 loss=0.62343 elapsed=316.1s
Epoch 2/8 batch 3600/5325 loss=0.62328 elapsed=324.9s
Epoch 2/8 batch 3700/5325 loss=0.62465 elapsed=333.5s
Epoch 2/8 batch 3800/5325 loss=0.62304 elapsed=342.1s
Epoch 2/8 batch 3900/5325 loss=0.62221 elapsed=350.6s
Epoch 2/8 batch 4000/5325 loss=0.62193 elapsed=359.2s
Epoch 2/8 batch 4100/5325 loss=0.62149 elapsed=368.1s
Epoch 2/8 batch 4200/5325 loss=0.62213 elapsed=377.1s
Epoch 2/8 batch 4300/5325 loss=0.62182 elapsed=385.7s
Epoch 2/8 batch 4400/5325 loss=0.62133 elapsed=394.2s
Epoch 2/8 batch 4500/5325 loss=0.62106 elapsed=403.1s
Epoch 2/8 batch 4600/5325 loss=0.62089 elapsed=411.8s
Epoch 2/8 batch 4700/5325 loss=0.62092 elapsed=420.7s
Epoch 2/8 batch 4800/5325 loss=0.62111 elapsed=429.6s
Epoch 2/8 batch 4900/5325 loss=0.62035 elapsed=438.3s
Epoch 2/8 batch 5000/5325 loss=0.61886 elapsed=447.1s
Epoch 2/8 batch 5100/5325 loss=0.61817 elapsed=455.6s
Epoch 2/8 batch 5200/5325 loss=0.61736 elapsed=464.1s
Epoch 2/8 batch 5300/5325 loss=0.61682 elapsed=472.6s
{"epoch": 2, "train_loss": 0.6164536901051835, "images": 1332, "threshold": 0.42999999999999977, "exact_count_accuracy": 0.2980480480480481, "within_one_accuracy": 0.4594594594594595, "mean_absolute_error": 8.352852852852854, "root_mean_squared_error": 29.71887803588338, "mean_signed_error": -2.160660660660661, "total_true": 206171, "total_predicted": 203293, "seconds": 544.3376733999976}
Epoch 3/8 batch 1/5325 loss=0.36644 elapsed=11.1s
Epoch 3/8 batch 100/5325 loss=0.55222 elapsed=19.7s
Epoch 3/8 batch 200/5325 loss=0.57984 elapsed=28.3s
Epoch 3/8 batch 300/5325 loss=0.59033 elapsed=36.9s
Epoch 3/8 batch 400/5325 loss=0.59477 elapsed=45.4s
Epoch 3/8 batch 500/5325 loss=0.59139 elapsed=54.0s
Epoch 3/8 batch 600/5325 loss=0.59491 elapsed=62.6s
Epoch 3/8 batch 700/5325 loss=0.59369 elapsed=71.4s
Epoch 3/8 batch 800/5325 loss=0.58549 elapsed=80.0s
Epoch 3/8 batch 900/5325 loss=0.58198 elapsed=88.3s
Epoch 3/8 batch 1000/5325 loss=0.58338 elapsed=96.8s
Epoch 3/8 batch 1100/5325 loss=0.58993 elapsed=105.2s
Epoch 3/8 batch 1200/5325 loss=0.58821 elapsed=113.7s
Epoch 3/8 batch 1300/5325 loss=0.59449 elapsed=122.6s
Epoch 3/8 batch 1400/5325 loss=0.59650 elapsed=130.9s
Epoch 3/8 batch 1500/5325 loss=0.59766 elapsed=139.5s
Epoch 3/8 batch 1600/5325 loss=0.59741 elapsed=147.9s
Epoch 3/8 batch 1700/5325 loss=0.59643 elapsed=156.2s
Epoch 3/8 batch 1800/5325 loss=0.59931 elapsed=164.6s
Epoch 3/8 batch 1900/5325 loss=0.60280 elapsed=173.3s
Epoch 3/8 batch 2000/5325 loss=0.60271 elapsed=182.0s
Epoch 3/8 batch 2100/5325 loss=0.60291 elapsed=190.2s
Epoch 3/8 batch 2200/5325 loss=0.60696 elapsed=198.7s
Epoch 3/8 batch 2300/5325 loss=0.60708 elapsed=207.3s
Epoch 3/8 batch 2400/5325 loss=0.60576 elapsed=215.8s
Epoch 3/8 batch 2500/5325 loss=0.60476 elapsed=224.4s
Epoch 3/8 batch 2600/5325 loss=0.60567 elapsed=232.8s
Epoch 3/8 batch 2700/5325 loss=0.60440 elapsed=241.3s
Epoch 3/8 batch 2800/5325 loss=0.60415 elapsed=249.8s
Epoch 3/8 batch 2900/5325 loss=0.60424 elapsed=258.4s
Epoch 3/8 batch 3000/5325 loss=0.60605 elapsed=266.8s
Epoch 3/8 batch 3100/5325 loss=0.60592 elapsed=275.1s
Epoch 3/8 batch 3200/5325 loss=0.60415 elapsed=283.8s
Epoch 3/8 batch 3300/5325 loss=0.60403 elapsed=292.4s
Epoch 3/8 batch 3400/5325 loss=0.60249 elapsed=301.0s
Epoch 3/8 batch 3500/5325 loss=0.60318 elapsed=309.5s
Epoch 3/8 batch 3600/5325 loss=0.60428 elapsed=318.0s
Epoch 3/8 batch 3700/5325 loss=0.60382 elapsed=326.5s
Epoch 3/8 batch 3800/5325 loss=0.60468 elapsed=335.0s
Epoch 3/8 batch 3900/5325 loss=0.60459 elapsed=343.2s
Epoch 3/8 batch 4000/5325 loss=0.60300 elapsed=351.4s
Epoch 3/8 batch 4100/5325 loss=0.60296 elapsed=359.9s
Epoch 3/8 batch 4200/5325 loss=0.60373 elapsed=368.4s
Epoch 3/8 batch 4300/5325 loss=0.60383 elapsed=376.7s
Epoch 3/8 batch 4400/5325 loss=0.60360 elapsed=385.2s
Epoch 3/8 batch 4500/5325 loss=0.60412 elapsed=393.7s
Epoch 3/8 batch 4600/5325 loss=0.60328 elapsed=402.1s
Epoch 3/8 batch 4700/5325 loss=0.60393 elapsed=410.6s
Epoch 3/8 batch 4800/5325 loss=0.60343 elapsed=419.1s
Epoch 3/8 batch 4900/5325 loss=0.60303 elapsed=427.5s
Epoch 3/8 batch 5000/5325 loss=0.60281 elapsed=435.9s
Epoch 3/8 batch 5100/5325 loss=0.60231 elapsed=444.3s
Epoch 3/8 batch 5200/5325 loss=0.60278 elapsed=452.8s
Epoch 3/8 batch 5300/5325 loss=0.60383 elapsed=461.4s
{"epoch": 3, "train_loss": 0.6033703110907489, "images": 1332, "threshold": 0.5099999999999998, "exact_count_accuracy": 0.2912912912912913, "within_one_accuracy": 0.4496996996996997, "mean_absolute_error": 10.706456456456456, "root_mean_squared_error": 33.15493930020081, "mean_signed_error": -7.643393393393393, "total_true": 206171, "total_predicted": 195990, "seconds": 531.7430845000017}
Epoch 4/8 batch 1/5325 loss=0.40182 elapsed=11.2s
Epoch 4/8 batch 100/5325 loss=0.60214 elapsed=19.5s
Epoch 4/8 batch 200/5325 loss=0.60265 elapsed=28.0s
Epoch 4/8 batch 300/5325 loss=0.57089 elapsed=36.4s
Epoch 4/8 batch 400/5325 loss=0.56686 elapsed=45.0s
Epoch 4/8 batch 500/5325 loss=0.56583 elapsed=53.5s
