epoch,train_loss,val_loss,threshold,exact_count_accuracy,within_one_accuracy,mean_absolute_error,mean_signed_error,learning_rate
1,0.973514489786166,1.0148624548235454,0.23500000000000013,0.13438438438438438,0.2672672672672673,11.783783783783784,-0.2732732732732733,0.0001
2,0.935490462007657,1.0000917161101694,0.27000000000000013,0.13963963963963963,0.29204204204204204,11.52102102102102,-6.801801801801802,0.0001
3,0.9211566304488921,0.9887961505859105,0.18000000000000008,0.14414414414414414,0.26876876876876876,15.843843843843844,9.936936936936936,0.0001
4,0.9109850030325948,0.9830419352283707,0.30000000000000016,0.1388888888888889,0.2897897897897898,15.283783783783784,-10.992492492492492,0.0001
5,0.8999356259762401,0.975084928062943,0.27500000000000013,0.14564564564564564,0.30405405405405406,12.53978978978979,-5.236486486486487,0.0001
6,0.8869823508755142,0.9788322295691516,0.2600000000000001,0.15165165165165165,0.283033033033033,14.49924924924925,-4.4557057057057055,0.0001
7,0.8821974782540765,0.9587432652622372,0.2500000000000001,0.15990990990990991,0.30255255255255253,12.036786786786786,-2.1884384384384385,0.0001
8,0.8733741086749404,0.9711396601107027,0.2500000000000001,0.13288288288288289,0.3003003003003003,12.48948948948949,-1.4744744744744744,0.0001
9,0.8623906233556954,0.9600830048367426,0.28000000000000014,0.16741741741741742,0.3130630630630631,12.682432432432432,-2.8986486486486487,0.0001
10,0.8561659043495644,0.9494437758136798,0.2550000000000001,0.16966966966966968,0.30405405405405406,13.262012012012011,1.674924924924925,0.0001
11,0.8548326698491271,0.9645168838781996,0.27500000000000013,0.1493993993993994,0.2912912912912913,12.012012012012011,-4.114114114114114,0.0001
12,0.8384448901588368,0.9958251607758147,0.27000000000000013,0.14339339339339338,0.29354354354354356,13.221471471471471,-5.9391891891891895,0.0001
13,0.8342383365899744,0.9680210792714053,0.27500000000000013,0.15015015015015015,0.30855855855855857,13.481981981981981,-4.554054054054054,5e-05
14,0.8054703178260249,0.9452051520347595,0.29000000000000015,0.14414414414414414,0.26126126126126126,17.01201201201201,-11.633633633633634,5e-05
15,0.7963712542955305,0.942582263446248,0.23500000000000013,0.16666666666666666,0.30180180180180183,16.8993993993994,7.66066066066066,5e-05
